Código,Comuna,Población 2010,Población 2022,Variación absoluta,Variación relativa (%)
02007,Comuna 1,205886,223554,17668,8.6
02014,Comuna 2,157932,161645,3713,2.4
02021,Comuna 3,187537,196240,8703,4.6
02028,Comuna 4,218245,229240,10995,5
02035,Comuna 5,179005,194271,15266,8.5
02042,Comuna 6,176076,203043,26967,15.3
02049,Comuna 7,220591,215896,-4695,-2.1
02056,Comuna 8,187237,204367,17130,9.1
02063,Comuna 9,161797,169063,7266,4.5
02070,Comuna 10,166022,173004,6982,4.2
02077,Comuna 11,189832,204601,14769,7.8
02084,Comuna 12,200116,236887,36771,18.4
02091,Comuna 13,231331,264385,33054,14.3
02098,Comuna 14,225970,248635,22665,10
02105,Comuna 15,182574,196876,14302,7.8
